User,Shifting_Congruent_RT_Diff,Shifting_Incongruent_RT_Diff,Shifting_Congruent_FA_Diff,Shifting_Incongruent_FA_Diff,Memory_Hits_Diff,Memory_PR_Diff,Memory_Attempts_Diff,Memory_FA_Diff,Memory_Return_Efficiency_Diff
525,0.226751674324078,0.1592683546673983,0.0416666666666666,0.0875,0.0,0.039268386108273656,0.0,-0.0223863636363636,0.004780752317222414
524,-0.04423947930526001,-0.0028250994831952037,0.03125,0.1458333333333333,-0.0186567164179104,-0.06205524344569291,-0.0178571428571428,0.031666666666666704,0.009600930665096152
523,0.26648525758337477,0.24739961256261853,0.0,0.1541666666666666,0.015170856245090299,-0.05689479060265579,0.1383928571428572,0.0715530303030303,-0.08195668400456002
522,-0.06370273541189991,-0.03647417241161094,0.0,0.0,0.0,0.009737827715355807,0.0,-0.0129166666666667,0.03537265515427779
521,0.004835944619950738,0.0349559552116919,0.0,0.1083333333333334,0.0921052631578947,0.05672401685393247,0.09375,0.145,-0.18877853291826396
520,0.026306885186704987,-0.008665142946061966,0.0,-0.024999999999999897,-0.0394736842105263,-0.0078125,-0.03125,-0.0729166666666666,0.13865112160566706
519,0.08652499035532901,0.029825865690164516,0.05952380952380949,0.08333333333333338,0.1644736842105263,0.030729166666666585,0.125,0.1645833333333333,-0.20066266929208731
518,-0.05571827224859807,-0.055878726258217326,0.0,0.0833333333333333,-0.0394736842105263,-0.03765800561797761,-0.03125,-0.0441666666666667,0.10226542849443043
517,0.19096720339944884,0.03596027642511651,0.0491071428571428,0.0875,0.0,-0.09442883895131088,0.0,0.0829166666666667,-0.11492627198621264
516,-0.16510378723608213,-0.06889875865836759,0.0,-0.0416666666666666,-0.0205223880597014,-0.059339887640449396,-0.0178571428571428,0.026250000000000002,0.019471592985019992
514,0.0068331707917929085,-0.002497801649628789,0.0,0.0,0.0,-0.007150153217569066,0.0,0.017500000000000106,0.012140916149068204
471,0.2077088035437072,0.14692114446116653,0.0,0.05833333333333329,0.0394736842105263,0.04165017449778696,0.03125,0.04625,-0.06338552990424073
479,-0.1209767944232395,-0.10903780504484062,-0.0624999999999999,-0.4125,0.1381578947368421,0.07776217228464416,0.09375,0.19,-0.24478677070115096
469,-0.24674047051162679,-0.21178437653316196,0.0491071428571428,0.0124999999999999,0.0,0.015577119509703807,0.0,-0.0325,0.06667865083286273
425,0.0939883063174734,0.10148222162851228,-0.010416666666666602,-0.045833333333333295,-0.0413393558523173,-0.0745259831460674,0.0,-0.007916666666666697,0.057622571351573226
437,0.10772988440493886,0.08982154368585399,0.03125,0.0249999999999999,0.0,-0.05257277834525037,0.0,0.051477272727272795,-0.07993767253278117
436,-0.028483479584439197,-0.20737684241343313,0.0,0.0,0.0394736842105263,0.026294369254341143,0.03125,0.0691666666666666,-0.1459419795249216
